cat,stream,next_stream,prev_str01,prev_str02,strahler,horton,shreve,hack,topo_dim,scheidegger,drwal_old,length,stright,sinosoid,cum_length,flow_accum,out_dist,source_elev,outlet_elev,elev_drop,out_drop,gradient
50,50,111,47,41,2,2,2,3,47,4,2,3712.099082,2694.428126,1.377695,4465.826978,52906.748508,126857.054817,514.042603,446.055817,67.987427,0.000641,0.018315
51,51,129,0,0,1,2,1,3,42,2,1,1160.576919,1041.492655,1.11434,1160.576919,13508.938802,106416.607312,514.901245,425.791321,89.110382,0.000458,0.076781
51,51,129,0,0,1,2,1,3,42,2,1,1160.576919,1041.492655,1.11434,1160.576919,13508.938802,106416.607312,514.901245,425.791321,89.110382,0.000458,0.076781
52,52,112,0,0,1,1,1,4,26,2,1,894.757059,828.801184,1.07958,894.757059,3970.27712,61427.697119,514.301636,445.316284,72.021149,3.035797,0.080492
52,52,112,0,0,1,1,1,4,26,2,1,894.757059,828.801184,1.07958,894.757059,3970.27712,61427.697119,514.301636,445.316284,72.021149,3.035797,0.080492
53,53,126,0,0,1,1,1,3,42,2,1,1378.13653,1221.294044,1.128423,1378.13653,3755.61221,106646.975637,514.097534,427.766968,87.203552,0.872986,0.063276
53,53,126,0,0,1,1,1,3,42,2,1,1378.13653,1221.294044,1.128423,1378.13653,3755.61221,106646.975637,514.097534,427.766968,87.203552,0.872986,0.063276
54,54,105,0,0,1,1,1,3,48,2,1,2017.229671,1755.972096,1.148782,2017.229671,673.632003,126401.168566,513.909546,448.59906,66.258728,0.948242,0.032846
54,54,105,0,0,1,1,1,3,48,2,1,2017.229671,1755.972096,1.148782,2017.229671,673.632003,126401.168566,513.909546,448.59906,66.258728,0.948242,0.032846
55,55,115,0,0,1,1,1,2,47,2,1,5013.705163,4318.128174,1.161083,5013.705163,14312.147829,127842.704996,509.817474,440.187592,69.93335,0.303467,0.013948
55,55,115,0,0,1,1,1,2,47,2,1,5013.705163,4318.128174,1.161083,5013.705163,14312.147829,127842.704996,509.817474,440.187592,69.93335,0.303467,0.013948
